sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
WFHCeC1L	WHYCeC4R	0.573825763	Mallards	WFHCeC1L	WHYCeC4R	0.296343514	Mallards	WFHCeC1L	WHYCeC4R	0.111852966	Mallards
WFHCeC2L	WHYCeC4R	0.810892554	Mallards	WFHCeC2L	WHYCeC4R	0.421437844	Mallards	WFHCeC2L	WHYCeC4R	0.139097665	Mallards
WFHCeC3L	WHYCeC4R	0.722719425	Mallards	WFHCeC3L	WHYCeC4R	0.375631785	Mallards	WFHCeC3L	WHYCeC4R	0.129024407	Mallards
WFHCeC4L	WHYCeC4R	0.537514393	Mallards	WFHCeC4L	WHYCeC4R	0.23617263	Mallards	WFHCeC4L	WHYCeC4R	0.102367562	Mallards
WFHCeC6L	WHYCeC4R	0.617513048	Mallards	WFHCeC6L	WHYCeC4R	0.295202732	Mallards	WFHCeC6L	WHYCeC4R	0.10831716	Mallards
WFHCeC11L	WHYCeC4R	0.584938292	Mallards	WFHCeC11L	WHYCeC4R	0.271608423	Mallards	WFHCeC11L	WHYCeC4R	0.104300835	Mallards
WFHCeC12L	WHYCeC4R	0.592153957	Mallards	WFHCeC12L	WHYCeC4R	0.263106469	Mallards	WFHCeC12L	WHYCeC4R	0.11201618	Mallards
WFHCeC13L	WHYCeC4R	0.655078898	Mallards	WFHCeC13L	WHYCeC4R	0.305308226	Mallards	WFHCeC13L	WHYCeC4R	0.123838925	Mallards
WFHCeC14L	WHYCeC4R	0.840288216	Mallards	WFHCeC14L	WHYCeC4R	0.429913401	Mallards	WFHCeC14L	WHYCeC4R	0.144638154	Mallards
WFHCeC16L	WHYCeC4R	0.870969569	Mallards	WFHCeC16L	WHYCeC4R	0.486996178	Mallards	WFHCeC16L	WHYCeC4R	0.152561264	Mallards
WFHCeC21L	WHYCeC4R	0.696338968	Mallards	WFHCeC21L	WHYCeC4R	0.307843481	Mallards	WFHCeC21L	WHYCeC4R	0.111762995	Mallards
WFHCeC22L	WHYCeC4R	0.787302958	Mallards	WFHCeC22L	WHYCeC4R	0.382218744	Mallards	WFHCeC22L	WHYCeC4R	0.131417206	Mallards
WFHCeC23L	WHYCeC4R	0.646529932	Mallards	WFHCeC23L	WHYCeC4R	0.301096709	Mallards	WFHCeC23L	WHYCeC4R	0.106531489	Mallards
WFHCeC24L	WHYCeC4R	0.910758944	Mallards	WFHCeC24L	WHYCeC4R	0.482040294	Mallards	WFHCeC24L	WHYCeC4R	0.157742849	Mallards
WFHCeC25L	WHYCeC4R	0.798556535	Mallards	WFHCeC25L	WHYCeC4R	0.359556733	Mallards	WFHCeC25L	WHYCeC4R	0.13739049	Mallards
WHYCeC1R	WHYCeC5R	0.6613878	Mallards	WHYCeC1R	WHYCeC5R	0.361911884	Mallards	WHYCeC1R	WHYCeC5R	0.103476874	Mallards
WHYCeC2R	WHYCeC5R	0.487935599	Mallards	WHYCeC2R	WHYCeC5R	0.218742068	Mallards	WHYCeC2R	WHYCeC5R	0.073951777	Mallards
WHYCeC3R	WHYCeC5R	0.513849947	Mallards	WHYCeC3R	WHYCeC5R	0.269348602	Mallards	WHYCeC3R	WHYCeC5R	0.071984807	Mallards
WHYCeC4R	WHYCeC5R	0.486925522	Mallards	WHYCeC4R	WHYCeC5R	0.277168514	Mallards	WHYCeC4R	WHYCeC5R	0.120289674	Mallards
WHYCeC6R	WHYCeC5R	0.422771862	Mallards	WHYCeC6R	WHYCeC5R	0.124930435	Mallards	WHYCeC6R	WHYCeC5R	0.055377617	Mallards
