sample	gene Abundance	Group	sample	Genus Abundance	Group	sample	Kos Abundance	Group
PD14d_CeC_2	9.824933772	Duck	QDCoC15	5.861426257	Duck	PD14d_CeC_2	9.824933772	Duck
PD14d_CeC_3	9.807619232	Duck	QDCoC19	5.760975498	Duck	PD14d_CeC_3	9.807619232	Duck
PD14d_CeC_4	9.863861897	Duck	QDCoC2	5.862087632	Duck	PD14d_CeC_4	9.863861897	Duck
PD14d_CeC_5	9.860864541	Duck	QDCoC22	6.124753198	Duck	PD14d_CeC_5	9.860864541	Duck
PD14d_CeC_6	9.859991031	Duck	QDCoC29	5.421197241	Duck	PD14d_CeC_6	9.859991031	Duck
PD14d_CeC_7	9.851955866	Duck	QDCoC3	5.924217606	Duck	PD14d_CeC_7	9.851955866	Duck
PD14d_CeC_8	9.872124495	Duck	QDCoC30	5.629032843	Duck	PD14d_CeC_8	9.872124495	Duck
PD3d_CeC_1	10.37354061	Duck	QDCoC31	5.976622251	Duck	PD3d_CeC_1	10.37354061	Duck
PD3d_CeC_2	10.54719147	Duck	QDCoC35	5.463332114	Duck	PD3d_CeC_2	10.54719147	Duck
PD3d_CeC_3	10.22640553	Duck	SDCeC1	6.224849594	Duck	PD3d_CeC_3	10.22640553	Duck
PD3d_CeC_4	9.768276165	Duck	SDCeC2	6.025549294	Duck	PD3d_CeC_4	9.768276165	Duck
PD3d_CeC_5	9.676157134	Duck	SDCeC3	6.216766846	Duck	PD3d_CeC_5	9.676157134	Duck
PD3d_CeC_6	9.784810301	Duck	SDCeC4	5.954536972	Duck	PD3d_CeC_6	9.784810301	Duck
PD3d_CeC_7	10.51839931	Duck	SDCeC5	5.894072984	Duck	PD3d_CeC_7	10.51839931	Duck
PD3d_CeC_8	10.31755833	Duck	SDCeC6	5.982183043	Duck	PD3d_CeC_8	10.31755833	Duck
PD42d_CeC1	9.809227041	Duck	SDQCeC10L	4.506782446	Duck	PD42d_CeC1	9.809227041	Duck
PD42d_CeC2	9.835052829	Duck	SDQCeC11L	5.736171187	Duck	PD42d_CeC2	9.835052829	Duck
