Sample1	Sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
SDQDuC3	MD70dduC5	0.992962862	Duodenum	SDQDuC3	MD70dduC5	0.977412218	Duodenum	SDQDuC3	MD70dduC5	0.996515121	Duodenum
SDQDuC4	MD70dduC5	0.987313164	Duodenum	SDQDuC4	MD70dduC5	0.944205595	Duodenum	SDQDuC4	MD70dduC5	0.994750963	Duodenum
SDQDuC5	MD70dduC5	0.98685016	Duodenum	SDQDuC5	MD70dduC5	0.932185978	Duodenum	SDQDuC5	MD70dduC5	0.992326774	Duodenum
SDQDuC7	MD70dduC5	0.993029012	Duodenum	SDQDuC7	MD70dduC5	0.970099878	Duodenum	SDQDuC7	MD70dduC5	0.996047878	Duodenum
WHYDuC1	MD70dduC5	0.984200815	Duodenum	WHYDuC1	MD70dduC5	0.900111579	Duodenum	WHYDuC1	MD70dduC5	0.987526033	Duodenum
WHYDuC2	MD70dduC5	0.988619477	Duodenum	WHYDuC2	MD70dduC5	0.932555114	Duodenum	WHYDuC2	MD70dduC5	0.993157402	Duodenum
WHYDuC6	MD70dduC5	0.985611909	Duodenum	WHYDuC6	MD70dduC5	0.905656961	Duodenum	WHYDuC6	MD70dduC5	0.990962393	Duodenum
WHYDuC7	MD70dduC5	0.986281729	Duodenum	WHYDuC7	MD70dduC5	0.924330532	Duodenum	WHYDuC7	MD70dduC5	0.992362969	Duodenum
WHYDuC8	MD70dduC5	0.988780024	Duodenum	WHYDuC8	MD70dduC5	0.947452335	Duodenum	WHYDuC8	MD70dduC5	0.995773644	Duodenum
MD70dduC1	MD70dduC7	0.163067117	Duodenum	MD70dduC1	MD70dduC7	0.13825802	Duodenum	MD70dduC1	MD70dduC7	0.664500483	Duodenum
MD70dduC2	MD70dduC7	0.148704663	Duodenum	MD70dduC2	MD70dduC7	0.168599512	Duodenum	MD70dduC2	MD70dduC7	0.78932669	Duodenum
MD70dduC3	MD70dduC7	0.136963254	Duodenum	MD70dduC3	MD70dduC7	0.272388734	Duodenum	MD70dduC3	MD70dduC7	0.878958809	Duodenum
MD70dduC4	MD70dduC7	0.173438094	Duodenum	MD70dduC4	MD70dduC7	0.26266159	Duodenum	MD70dduC4	MD70dduC7	0.761914465	Duodenum
MD70dduC5	MD70dduC7	0.169410776	Duodenum	MD70dduC5	MD70dduC7	0.154862508	Duodenum	MD70dduC5	MD70dduC7	0.669791709	Duodenum
PD70dduC1	MD70dduC7	0.991609703	Duodenum	PD70dduC1	MD70dduC7	0.841765118	Duodenum	PD70dduC1	MD70dduC7	0.990045903	Duodenum
PD70dduC2	MD70dduC7	0.990093827	Duodenum	PD70dduC2	MD70dduC7	0.65643107	Duodenum	PD70dduC2	MD70dduC7	0.979823633	Duodenum
PD70dduC3	MD70dduC7	0.990936923	Duodenum	PD70dduC3	MD70dduC7	0.777378766	Duodenum	PD70dduC3	MD70dduC7	0.97277489	Duodenum
PD70dduC4	MD70dduC7	0.990730246	Duodenum	PD70dduC4	MD70dduC7	0.709946698	Duodenum	PD70dduC4	MD70dduC7	0.983050538	Duodenum
PD70dduC5	MD70dduC7	0.991200316	Duodenum	PD70dduC5	MD70dduC7	0.812510166	Duodenum	PD70dduC5	MD70dduC7	0.986895265	Duodenum
PD70dduC6	MD70dduC7	0.991589466	Duodenum	PD70dduC6	MD70dduC7	0.652776857	Duodenum	PD70dduC6	MD70dduC7	0.980055906	Duodenum
SDQDuC1	MD70dduC7	0.994169894	Duodenum	SDQDuC1	MD70dduC7	0.975350056	Duodenum	SDQDuC1	MD70dduC7	0.996399097	Duodenum
