sample1	sample2	genes Abundance	Group	sample1	sample2	genus Abundance	Group	sample1	sample2	Kos Abundance	Group
CeC164	WHYCeC1R	0.874291665	WW	CeC164	WHYCeC1R	0.38788918	WW	CeC164	WHYCeC1R	0.112360735	WW
WHYCeC1R	WHYCeC2R	0.634319633	WW	WHYCeC1R	WHYCeC2R	0.266342911	WW	WHYCeC1R	WHYCeC2R	0.067240127	WW
WHYCeC3R	WHYCeC2R	0.477720705	WW	WHYCeC3R	WHYCeC2R	0.190975505	WW	WHYCeC3R	WHYCeC2R	0.045951345	WW
WHYCeC4R	WHYCeC2R	0.443906565	WW	WHYCeC4R	WHYCeC2R	0.247127713	WW	WHYCeC4R	WHYCeC2R	0.12085725	WW
WHYCeC5R	WHYCeC2R	0.487935599	WW	WHYCeC5R	WHYCeC2R	0.218742068	WW	WHYCeC5R	WHYCeC2R	0.073951777	WW
WHYCeC6R	WHYCeC2R	0.393225444	WW	WHYCeC6R	WHYCeC2R	0.162485352	WW	WHYCeC6R	WHYCeC2R	0.055705921	WW
WHYCeC7R	WHYCeC2R	0.456995869	WW	WHYCeC7R	WHYCeC2R	0.191372251	WW	WHYCeC7R	WHYCeC2R	0.066157883	WW
WHYCeC6L	WHYCeC2R	0.418214282	WW	WHYCeC6L	WHYCeC2R	0.153087241	WW	WHYCeC6L	WHYCeC2R	0.075556767	WW
WHYCeC8	WHYCeC2R	0.885832465	WW	WHYCeC8	WHYCeC2R	0.361445717	WW	WHYCeC8	WHYCeC2R	0.19477463	WW
WFHCeC1L	WHYCeC2R	0.513140765	WW	WFHCeC1L	WHYCeC2R	0.18637755	WW	WFHCeC1L	WHYCeC2R	0.053163187	WW
WFHCeC2L	WHYCeC2R	0.767504855	WW	WFHCeC2L	WHYCeC2R	0.322312032	WW	WFHCeC2L	WHYCeC2R	0.089023128	WW
WFHCeC3L	WHYCeC2R	0.670981805	WW	WFHCeC3L	WHYCeC2R	0.281320233	WW	WFHCeC3L	WHYCeC2R	0.078868978	WW
WFHCeC4L	WHYCeC2R	0.487671558	WW	WFHCeC4L	WHYCeC2R	0.150812659	WW	WFHCeC4L	WHYCeC2R	0.050366649	WW
WFHCeC6L	WHYCeC2R	0.574231248	WW	WFHCeC6L	WHYCeC2R	0.215287367	WW	WFHCeC6L	WHYCeC2R	0.063775694	WW
WFHCeC11L	WHYCeC2R	0.515922104	WW	WFHCeC11L	WHYCeC2R	0.182156296	WW	WFHCeC11L	WHYCeC2R	0.059450638	WW
WFHCeC12L	WHYCeC2R	0.550033147	WW	WFHCeC12L	WHYCeC2R	0.176135329	WW	WFHCeC12L	WHYCeC2R	0.050780166	WW
WFHCeC13L	WHYCeC2R	0.580792246	WW	WFHCeC13L	WHYCeC2R	0.21062098	WW	WFHCeC13L	WHYCeC2R	0.059817292	WW
WFHCeC14L	WHYCeC2R	0.79246528	WW	WFHCeC14L	WHYCeC2R	0.324364184	WW	WFHCeC14L	WHYCeC2R	0.085106714	WW
WFHCeC16L	WHYCeC2R	0.822785124	WW	WFHCeC16L	WHYCeC2R	0.385505986	WW	WFHCeC16L	WHYCeC2R	0.108997682	WW
WFHCeC21L	WHYCeC2R	0.655453624	WW	WFHCeC21L	WHYCeC2R	0.232492868	WW	WFHCeC21L	WHYCeC2R	0.07326134	WW
WFHCeC22L	WHYCeC2R	0.735105524	WW	WFHCeC22L	WHYCeC2R	0.286885194	WW	WFHCeC22L	WHYCeC2R	0.086158595	WW
WFHCeC23L	WHYCeC2R	0.632514912	WW	WFHCeC23L	WHYCeC2R	0.241099596	WW	WFHCeC23L	WHYCeC2R	0.076862475	WW
WFHCeC24L	WHYCeC2R	0.881230744	WW	WFHCeC24L	WHYCeC2R	0.384113811	WW	WFHCeC24L	WHYCeC2R	0.10717083	WW
WFHCeC25L	WHYCeC2R	0.741023875	WW	WFHCeC25L	WHYCeC2R	0.265665397	WW	WFHCeC25L	WHYCeC2R	0.073146248	WW
GZCeC-10	WHYCeC2R	0.756083744	WW	GZCeC-10	WHYCeC2R	0.205424916	WW	GZCeC-10	WHYCeC2R	0.082004167	WW
GZCeC-24	WHYCeC2R	0.966931239	WW	GZCeC-24	WHYCeC2R	0.769606121	WW	GZCeC-24	WHYCeC2R	0.619964992	WW
GZCeC-25	WHYCeC2R	0.960940823	WW	GZCeC-25	WHYCeC2R	0.830869631	WW	GZCeC-25	WHYCeC2R	0.362647382	WW
GZCeC-26	WHYCeC2R	0.742525028	WW	GZCeC-26	WHYCeC2R	0.241372573	WW	GZCeC-26	WHYCeC2R	0.096841808	WW
GZCeC-27	WHYCeC2R	0.966860082	WW	GZCeC-27	WHYCeC2R	0.797187292	WW	GZCeC-27	WHYCeC2R	0.618142809	WW
GZCeC-28	WHYCeC2R	0.838317304	WW	GZCeC-28	WHYCeC2R	0.481772766	WW	GZCeC-28	WHYCeC2R	0.236952637	WW
GZCeC-29	WHYCeC2R	0.984264079	WW	GZCeC-29	WHYCeC2R	0.919697572	WW	GZCeC-29	WHYCeC2R	0.786113477	WW
GZCeC-30	WHYCeC2R	0.833182173	WW	GZCeC-30	WHYCeC2R	0.340826012	WW	GZCeC-30	WHYCeC2R	0.134944858	WW
GZCeC-6	WHYCeC2R	0.788454789	WW	GZCeC-6	WHYCeC2R	0.267598145	WW	GZCeC-6	WHYCeC2R	0.129853776	WW
GZCeC-7	WHYCeC2R	0.873051422	WW	GZCeC-7	WHYCeC2R	0.450234955	WW	GZCeC-7	WHYCeC2R	0.345228966	WW
GZCeC-8	WHYCeC2R	0.923037697	WW	GZCeC-8	WHYCeC2R	0.581525781	WW	GZCeC-8	WHYCeC2R	0.202114965	WW
GZCeC-9	WHYCeC2R	0.907732848	WW	GZCeC-9	WHYCeC2R	0.705099564	WW	GZCeC-9	WHYCeC2R	0.290552734	WW
SSCeC-1	WHYCeC2R	0.722025434	WW	SSCeC-1	WHYCeC2R	0.262972349	WW	SSCeC-1	WHYCeC2R	0.083728548	WW
SSCeC-10	WHYCeC2R	0.82015276	WW	SSCeC-10	WHYCeC2R	0.404761541	WW	SSCeC-10	WHYCeC2R	0.117730016	WW
SSCeC-2	WHYCeC2R	0.768987161	WW	SSCeC-2	WHYCeC2R	0.317986458	WW	SSCeC-2	WHYCeC2R	0.094550406	WW
SSCeC-3	WHYCeC2R	0.634635791	WW	SSCeC-3	WHYCeC2R	0.194589819	WW	SSCeC-3	WHYCeC2R	0.077343203	WW
SSCeC-4	WHYCeC2R	0.620030515	WW	SSCeC-4	WHYCeC2R	0.206966931	WW	SSCeC-4	WHYCeC2R	0.073768545	WW
SSCeC-5	WHYCeC2R	0.748518573	WW	SSCeC-5	WHYCeC2R	0.284574599	WW	SSCeC-5	WHYCeC2R	0.103050199	WW
SSCeC-6	WHYCeC2R	0.810059559	WW	SSCeC-6	WHYCeC2R	0.357170558	WW	SSCeC-6	WHYCeC2R	0.146290926	WW
SSCeC-7	WHYCeC2R	0.824460245	WW	SSCeC-7	WHYCeC2R	0.432630217	WW	SSCeC-7	WHYCeC2R	0.14368957	WW
SSCeC-8	WHYCeC2R	0.65502797	WW	SSCeC-8	WHYCeC2R	0.211515515	WW	SSCeC-8	WHYCeC2R	0.087441698	WW
SSCeC-9	WHYCeC2R	0.87764049	WW	SSCeC-9	WHYCeC2R	0.518870535	WW	SSCeC-9	WHYCeC2R	0.171639112	WW
SDQCeC1R	WHYCeC2R	0.666555298	WW	SDQCeC1R	WHYCeC2R	0.263411717	WW	SDQCeC1R	WHYCeC2R	0.071328536	WW
SDQCeC4R	WHYCeC2R	0.695675899	WW	SDQCeC4R	WHYCeC2R	0.265070993	WW	SDQCeC4R	WHYCeC2R	0.066865578	WW
SDQCeC5L	WHYCeC2R	0.777850222	WW	SDQCeC5L	WHYCeC2R	0.548304988	WW	SDQCeC5L	WHYCeC2R	0.219266472	WW
SDQCeC7R	WHYCeC2R	0.881877399	WW	SDQCeC7R	WHYCeC2R	0.656124977	WW	SDQCeC7R	WHYCeC2R	0.263773234	WW
SDQCeC8R	WHYCeC2R	0.576120107	WW	SDQCeC8R	WHYCeC2R	0.190146627	WW	SDQCeC8R	WHYCeC2R	0.061615447	WW
SDQCeC9R	WHYCeC2R	0.610438857	WW	SDQCeC9R	WHYCeC2R	0.190339533	WW	SDQCeC9R	WHYCeC2R	0.043182535	WW
SDQCeC10L	WHYCeC2R	0.552244824	WW	SDQCeC10L	WHYCeC2R	0.2252727	WW	SDQCeC10L	WHYCeC2R	0.075518743	WW
SDQCeC11L	WHYCeC2R	0.783057619	WW	SDQCeC11L	WHYCeC2R	0.35903167	WW	SDQCeC11L	WHYCeC2R	0.121624323	WW
FJCeC1	WHYCeC2R	0.83278909	WW	FJCeC1	WHYCeC2R	0.367059907	WW	FJCeC1	WHYCeC2R	0.10330935	WW
FJCeC2	WHYCeC2R	0.740342181	WW	FJCeC2	WHYCeC2R	0.218323241	WW	FJCeC2	WHYCeC2R	0.063289801	WW
FJCeC3	WHYCeC2R	0.824274949	WW	FJCeC3	WHYCeC2R	0.320204027	WW	FJCeC3	WHYCeC2R	0.086393008	WW
FJCeC4	WHYCeC2R	0.578804316	WW	FJCeC4	WHYCeC2R	0.179720724	WW	FJCeC4	WHYCeC2R	0.059511179	WW
FJCeC5	WHYCeC2R	0.72405344	WW	FJCeC5	WHYCeC2R	0.369751874	WW	FJCeC5	WHYCeC2R	0.11552261	WW
FJCeC6	WHYCeC2R	0.712879576	WW	FJCeC6	WHYCeC2R	0.269516487	WW	FJCeC6	WHYCeC2R	0.081124817	WW
HEBCeC-10	WHYCeC2R	0.883786866	WW	HEBCeC-10	WHYCeC2R	0.555502697	WW	HEBCeC-10	WHYCeC2R	0.326272758	WW
HEBCeC-15	WHYCeC2R	0.673592647	WW	HEBCeC-15	WHYCeC2R	0.318931339	WW	HEBCeC-15	WHYCeC2R	0.146161827	WW
HEBCeC-17	WHYCeC2R	0.721320657	WW	HEBCeC-17	WHYCeC2R	0.211802306	WW	HEBCeC-17	WHYCeC2R	0.084853706	WW
HEBCeC-18	WHYCeC2R	0.793563967	WW	HEBCeC-18	WHYCeC2R	0.281847832	WW	HEBCeC-18	WHYCeC2R	0.101897692	WW
HEBCeC-21	WHYCeC2R	0.73283858	WW	HEBCeC-21	WHYCeC2R	0.251871386	WW	HEBCeC-21	WHYCeC2R	0.10687005	WW
