Sample	Group	Genes Abundance	Sample	Group	genus Abundance	Sample	Group	Kos Abundance
CeC61	WW	19.41263867	CeC61	WW	6.12521641	CeC61	WW	9.885154256
CeC66	WW	18.07203664	CeC66	WW	4.989618599	CeC66	WW	9.823658008
CeC69	WW	18.87457696	CeC69	WW	6.189255963	CeC69	WW	9.872123188
CeC70	WW	17.21864271	CeC70	WW	5.969546966	CeC70	WW	9.830360193
CeC139	WW	19.6717789	CeC139	WW	6.053211379	CeC139	WW	9.890095848
CeC161	WW	19.49220264	CeC161	WW	6.343709492	CeC161	WW	9.845220556
CeC1	WW	19.31307801	CeC1	WW	6.103164472	CeC1	WW	9.862852903
CeC200	WW	19.6149706	CeC200	WW	5.893129746	CeC200	WW	9.91171096
CeC35	WW	19.49415392	CeC35	WW	5.969360706	CeC35	WW	9.84859606
CeC164	WW	19.798595	CeC164	WW	6.191577113	CeC164	WW	9.868790587
MD70d_CeC1	WOW	19.1998296	MD70d_CeC1	WOW	5.490359098	MD70d_CeC1	WOW	9.880763191
MD70d_CeC2	WOW	18.97796686	MD70d_CeC2	WOW	5.430839298	MD70d_CeC2	WOW	9.946011556
MD70d_CeC3	WOW	18.31827779	MD70d_CeC3	WOW	5.58070421	MD70d_CeC3	WOW	9.899835984
MD70d_CeC4	WOW	18.93812894	MD70d_CeC4	WOW	5.404362234	MD70d_CeC4	WOW	9.920177557
MD70d_CeC5	WOW	19.25376758	MD70d_CeC5	WOW	5.48696075	MD70d_CeC5	WOW	9.879355295
MD70d_CeC6	WOW	18.94213379	MD70d_CeC6	WOW	5.436897658	MD70d_CeC6	WOW	9.944940501
MD70d_CeC7	WOW	18.33657513	MD70d_CeC7	WOW	5.607033031	MD70d_CeC7	WOW	9.895922
MD70d_CeC8	WOW	18.93839048	MD70d_CeC8	WOW	5.406117888	MD70d_CeC8	WOW	9.923012797
