Sample ID	Assembly	Data production					
		Read  length (bp)	# of raw reads	 Raw data (Gb)	% Host DNA	# of  high quality reads	High quality data (Gb)
SDQCeC9R	MEGAHIT	150	97,443,872 	14.62 	25.13	68,065,186 	10.16 
SDQCoC1	MEGAHIT	150	196,800,852 	29.52 	97.21	4,463,234 	0.66 
SDQCoC3	MEGAHIT	150	176,680,940 	26.50 	95.8	5,639,918 	0.84 
SDQCoC4	MEGAHIT	150	163,947,990 	24.59 	90.53	10,404,988 	1.55 
SDQCoC5	MEGAHIT	150	151,378,748 	22.71 	47.91	65,224,052 	9.72 
SDQCoC7	MEGAHIT	150	141,088,050 	21.16 	82.46	16,462,374 	2.45 
SDQCoC8	MEGAHIT	150	153,658,604 	23.05 	95.21	5,662,376 	0.84 
SDQDuC1	MEGAHIT	150	149,744,990 	22.46 	99.31	660,912 	0.10 
SDQDuC2	MEGAHIT	150	162,137,736 	24.32 	99.8	199,000 	0.03 
SDQDuC3	MEGAHIT	150	146,282,298 	21.94 	99.41	636,800 	0.09 
SDQDuC4	MEGAHIT	150	165,381,856 	24.81 	99.89	138,470 	0.02 
SDQDuC5	MEGAHIT	150	158,383,580 	23.76 	99.91	110,194 	0.02 
SDQDuC7	MEGAHIT	150	190,728,086 	28.61 	99.39	610,248 	0.09 
SDQILC1	MEGAHIT	150	138,322,378 	20.75 	41.48	66,500,630 	9.92 
SDQILC2	MEGAHIT	150	161,283,984 	24.19 	67.96	37,585,494 	5.59 
SDQILC4	MEGAHIT	150	147,799,586 	22.17 	67.84	31,695,066 	4.72 
SDQILC5	MEGAHIT	150	167,073,822 	25.06 	51.18	67,360,484 	10.04 
SDQILC8	MEGAHIT	150	157,793,428 	23.67 	96.81	4,001,356 	0.60 
SDQILC9	MEGAHIT	150	169,023,564 	25.35 	83.77	17,161,866 	2.56 
SDQJeC1	MEGAHIT	150	159,670,648 	23.95 	99.91	107,360 	0.02 
SDQJeC2	MEGAHIT	150	179,385,656 	26.91 	99.77	237,094 	0.03 
SDQJeC4	MEGAHIT	150	158,235,068 	23.74 	99.91	107,384 	0.02 
SDQJeC5	MEGAHIT	150	172,714,100 	25.91 	99.86	180,260 	0.03 
SDQJeC7	MEGAHIT	150	155,952,564 	23.39 	99.83	190,640 	0.03 
SDQJeC9	MEGAHIT	150	155,133,126 	23.27 	99.69	290,114 	0.04 
SHCeC1	MEGAHIT	150	160,507,368 	24.08 	58.09	53,390,552 	7.97 
SHCeC12	MEGAHIT	150	164,296,450 	24.64 	14.83	112,099,606 	16.77 
SHCeC15	MEGAHIT	150	184,078,402 	27.61 	56.28	57,606,196 	8.60 
SHCeC16	MEGAHIT	150	158,972,760 	23.85 	14.35	116,344,922 	17.40 
SHCeC17	MEGAHIT	150	161,875,508 	24.28 	14.17	107,654,696 	16.10 
SHCeC18	MEGAHIT	150	154,745,196 	23.21 	16.9	104,901,536 	15.69 
SHCeC24	MEGAHIT	150	214,545,710 	32.18 	13.78	146,260,028 	21.87 
SHCeC26	MEGAHIT	150	173,731,204 	26.06 	17.76	105,518,202 	15.79 
SHCeC27	MEGAHIT	150	145,090,722 	21.76 	9.79	104,109,952 	15.56 
SHCeC28	MEGAHIT	150	150,500,314 	22.58 	13.37	103,123,452 	15.42 
