Total of 375 samples information			
Sample ID	location	Breeds	Intestines
SDQCoC1	Zhejiang	Partridge ducks	Colorectum
SDQCoC3	Zhejiang	Partridge ducks	Colorectum
SDQCoC4	Zhejiang	Partridge ducks	Colorectum
SDQCoC5	Zhejiang	Partridge ducks	Colorectum
SDQCoC7	Zhejiang	Partridge ducks	Colorectum
SDQCoC8	Zhejiang	Partridge ducks	Colorectum
SDQDuC1	Zhejiang	Partridge ducks	Duodenum
SDQDuC2	Zhejiang	Partridge ducks	Duodenum
SDQDuC3	Zhejiang	Partridge ducks	Duodenum
SDQDuC4	Zhejiang	Partridge ducks	Duodenum
SDQDuC5	Zhejiang	Partridge ducks	Duodenum
SDQDuC7	Zhejiang	Partridge ducks	Duodenum
SDQILC1	Zhejiang	Partridge ducks	Ileum
SDQILC2	Zhejiang	Partridge ducks	Ileum
SDQILC4	Zhejiang	Partridge ducks	Ileum
SDQILC5	Zhejiang	Partridge ducks	Ileum
SDQILC8	Zhejiang	Partridge ducks	Ileum
SDQILC9	Zhejiang	Partridge ducks	Ileum
SDQJeC1	Zhejiang	Partridge ducks	Jejunum
SDQJeC2	Zhejiang	Partridge ducks	Jejunum
SDQJeC4	Zhejiang	Partridge ducks	Jejunum
SDQJeC5	Zhejiang	Partridge ducks	Jejunum
SDQJeC7	Zhejiang	Partridge ducks	Jejunum
SDQJeC9	Zhejiang	Partridge ducks	Jejunum
SXCeC1	Zhejiang	Partridge ducks	Cecum
SXCeC2	Zhejiang	Partridge ducks	Cecum
SXCeC3	Zhejiang	Partridge ducks	Cecum
SXCeC4	Zhejiang	Partridge ducks	Cecum
SXCeC5	Zhejiang	Partridge ducks	Cecum
SXCeC6	Zhejiang	Partridge ducks	Cecum
WFHCeC11L	Zhejiang	Mallards	Cecum
WFHCeC12L	Zhejiang	Mallards	Cecum
WFHCeC13L	Zhejiang	Mallards	Cecum
WFHCeC14L	Zhejiang	Mallards	Cecum
WFHCeC16L	Zhejiang	Mallards	Cecum
WFHCeC1L	Zhejiang	Mallards	Cecum
WFHCeC21L	Zhejiang	Mallards	Cecum
WFHCeC22L	Zhejiang	Mallards	Cecum
WFHCeC23L	Zhejiang	Mallards	Cecum
WFHCeC24L	Zhejiang	Mallards	Cecum
WFHCeC25L	Zhejiang	Mallards	Cecum
WFHCeC2L	Zhejiang	Mallards	Cecum
WFHCeC3L	Zhejiang	Mallards	Cecum
WFHCeC4L	Zhejiang	Mallards	Cecum
WFHCeC6L	Zhejiang	Mallards	Cecum
WHYCeC1L	Zhejiang	Mallards	Cecum
WHYCeC1R	Zhejiang	Mallards	Cecum
WHYCeC2L	Zhejiang	Mallards	Cecum
WHYCeC2R	Zhejiang	Mallards	Cecum
WHYCeC3L	Zhejiang	Mallards	Cecum
WHYCeC3R	Zhejiang	Mallards	Cecum
WHYCeC4L	Zhejiang	Mallards	Cecum
WHYCeC4R	Zhejiang	Mallards	Cecum
WHYCeC5L	Zhejiang	Mallards	Cecum
WHYCeC5R	Zhejiang	Mallards	Cecum
WHYCeC6L	Zhejiang	Mallards	Cecum
WHYCeC6R	Zhejiang	Mallards	Cecum
WHYCeC7L	Zhejiang	Mallards	Cecum
WHYCeC7R	Zhejiang	Mallards	Cecum
WHYCeC8	Zhejiang	Mallards	Cecum
WHYCoC1	Zhejiang	Mallards	Colorectum
WHYCoC2	Zhejiang	Mallards	Colorectum
WHYCoC3	Zhejiang	Mallards	Colorectum
WHYCoC5	Zhejiang	Mallards	Colorectum
WHYCoC6	Zhejiang	Mallards	Colorectum
WHYCoC7	Zhejiang	Mallards	Colorectum
WHYDuC1	Zhejiang	Mallards	Duodenum
WHYDuC2	Zhejiang	Mallards	Duodenum
WHYDuC6	Zhejiang	Mallards	Duodenum
WHYDuC7	Zhejiang	Mallards	Duodenum
WHYDuC8	Zhejiang	Mallards	Duodenum
WHYILC1	Zhejiang	Mallards	Ileum
WHYILC3	Zhejiang	Mallards	Ileum
WHYILC4	Zhejiang	Mallards	Ileum
WHYILC5	Zhejiang	Mallards	Ileum
WHYILC6	Zhejiang	Mallards	Ileum
WHYILC8	Zhejiang	Mallards	Ileum
WHYJeC1	Zhejiang	Mallards	Jejunum
WHYJeC2	Zhejiang	Mallards	Jejunum
WHYJeC3	Zhejiang	Mallards	Jejunum
WHYJeC5	Zhejiang	Mallards	Jejunum
WHYJeC7	Zhejiang	Mallards	Jejunum
WHYJeC8	Zhejiang	Mallards	Jejunum
WNCeC1L	Zhejiang	Mallards	Cecum
WNCeC2L	Zhejiang	Mallards	Cecum
WNFCeC1L	Zhejiang	Mallards	Cecum
WNFCeC2L	Zhejiang	Mallards	Cecum
WNFCeC3L	Zhejiang	Mallards	Cecum
WNFCeC4L	Zhejiang	Mallards	Cecum
