sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
MD7d_CeC_7	MD7d_CeC_2	0.074985048	D07	MD7d_CeC_7	MD7d_CeC_2	0.006025829	D07	MD7d_CeC_7	MD7d_CeC_2	0.024918745	D07
MD7d_CeC_8	MD7d_CeC_2	0.318898715	D07	MD7d_CeC_8	MD7d_CeC_2	0.130709424	D07	MD7d_CeC_8	MD7d_CeC_2	0.099383127	D07
MD7d_CeC_1	MD7d_CeC_3	0.298818968	D07	MD7d_CeC_1	MD7d_CeC_3	0.171304513	D07	MD7d_CeC_1	MD7d_CeC_3	0.099226097	D07
MD7d_CeC_2	MD7d_CeC_3	0.353156007	D07	MD7d_CeC_2	MD7d_CeC_3	0.222797273	D07	MD7d_CeC_2	MD7d_CeC_3	0.142070813	D07
MD7d_CeC_4	MD7d_CeC_3	0.118772918	D07	MD7d_CeC_4	MD7d_CeC_3	0.070993584	D07	MD7d_CeC_4	MD7d_CeC_3	0.031812001	D07
MD7d_CeC_5	MD7d_CeC_3	0.226490621	D07	MD7d_CeC_5	MD7d_CeC_3	0.148962257	D07	MD7d_CeC_5	MD7d_CeC_3	0.052129257	D07
MD7d_CeC_6	MD7d_CeC_3	0.079706909	D07	MD7d_CeC_6	MD7d_CeC_3	0.032870335	D07	MD7d_CeC_6	MD7d_CeC_3	0.021020254	D07
MD7d_CeC_7	MD7d_CeC_3	0.346492141	D07	MD7d_CeC_7	MD7d_CeC_3	0.218192267	D07	MD7d_CeC_7	MD7d_CeC_3	0.137015275	D07
MD7d_CeC_8	MD7d_CeC_3	0.286967839	D07	MD7d_CeC_8	MD7d_CeC_3	0.162167045	D07	MD7d_CeC_8	MD7d_CeC_3	0.089929019	D07
MD7d_CeC_1	MD7d_CeC_4	0.318254777	D07	MD7d_CeC_1	MD7d_CeC_4	0.217898261	D07	MD7d_CeC_1	MD7d_CeC_4	0.113327096	D07
MD7d_CeC_2	MD7d_CeC_4	0.3733686	D07	MD7d_CeC_2	MD7d_CeC_4	0.259128333	D07	MD7d_CeC_2	MD7d_CeC_4	0.156746104	D07
MD7d_CeC_3	MD7d_CeC_4	0.118772918	D07	MD7d_CeC_3	MD7d_CeC_4	0.070993584	D07	MD7d_CeC_3	MD7d_CeC_4	0.031812001	D07
MD7d_CeC_5	MD7d_CeC_4	0.135624905	D07	MD7d_CeC_5	MD7d_CeC_4	0.0782429	D07	MD7d_CeC_5	MD7d_CeC_4	0.034020875	D07
MD7d_CeC_6	MD7d_CeC_4	0.171316583	D07	MD7d_CeC_6	MD7d_CeC_4	0.103288882	D07	MD7d_CeC_6	MD7d_CeC_4	0.04075607	D07
MD7d_CeC_7	MD7d_CeC_4	0.366945766	D07	MD7d_CeC_7	MD7d_CeC_4	0.255274281	D07	MD7d_CeC_7	MD7d_CeC_4	0.151153659	D07
MD7d_CeC_8	MD7d_CeC_4	0.307322052	D07	MD7d_CeC_8	MD7d_CeC_4	0.20859541	D07	MD7d_CeC_8	MD7d_CeC_4	0.103492499	D07
MD7d_CeC_1	MD7d_CeC_5	0.348732783	D07	MD7d_CeC_1	MD7d_CeC_5	0.271227391	D07	MD7d_CeC_1	MD7d_CeC_5	0.125554994	D07
MD7d_CeC_2	MD7d_CeC_5	0.417349573	D07	MD7d_CeC_2	MD7d_CeC_5	0.30748786	D07	MD7d_CeC_2	MD7d_CeC_5	0.167134179	D07
MD7d_CeC_3	MD7d_CeC_5	0.226490621	D07	MD7d_CeC_3	MD7d_CeC_5	0.148962257	D07	MD7d_CeC_3	MD7d_CeC_5	0.052129257	D07
MD7d_CeC_4	MD7d_CeC_5	0.135624905	D07	MD7d_CeC_4	MD7d_CeC_5	0.0782429	D07	MD7d_CeC_4	MD7d_CeC_5	0.034020875	D07
MD7d_CeC_6	MD7d_CeC_5	0.283525701	D07	MD7d_CeC_6	MD7d_CeC_5	0.18110137	D07	MD7d_CeC_6	MD7d_CeC_5	0.062221237	D07
MD7d_CeC_7	MD7d_CeC_5	0.412033145	D07	MD7d_CeC_7	MD7d_CeC_5	0.303249851	D07	MD7d_CeC_7	MD7d_CeC_5	0.162195334	D07
MD7d_CeC_8	MD7d_CeC_5	0.337671107	D07	MD7d_CeC_8	MD7d_CeC_5	0.261906265	D07	MD7d_CeC_8	MD7d_CeC_5	0.116103613	D07
MD7d_CeC_1	MD7d_CeC_6	0.306323852	D07	MD7d_CeC_1	MD7d_CeC_6	0.152669018	D07	MD7d_CeC_1	MD7d_CeC_6	0.100413207	D07
MD7d_CeC_2	MD7d_CeC_6	0.36731439	D07	MD7d_CeC_2	MD7d_CeC_6	0.224231911	D07	MD7d_CeC_2	MD7d_CeC_6	0.141351119	D07
MD7d_CeC_3	MD7d_CeC_6	0.079706909	D07	MD7d_CeC_3	MD7d_CeC_6	0.032870335	D07	MD7d_CeC_3	MD7d_CeC_6	0.021020254	D07
MD7d_CeC_4	MD7d_CeC_6	0.171316583	D07	MD7d_CeC_4	MD7d_CeC_6	0.103288882	D07	MD7d_CeC_4	MD7d_CeC_6	0.04075607	D07
MD7d_CeC_5	MD7d_CeC_6	0.283525701	D07	MD7d_CeC_5	MD7d_CeC_6	0.18110137	D07	MD7d_CeC_5	MD7d_CeC_6	0.062221237	D07
MD7d_CeC_7	MD7d_CeC_6	0.360323642	D07	MD7d_CeC_7	MD7d_CeC_6	0.219573767	D07	MD7d_CeC_7	MD7d_CeC_6	0.135809717	D07
MD7d_CeC_8	MD7d_CeC_6	0.29286771	D07	MD7d_CeC_8	MD7d_CeC_6	0.142199762	D07	MD7d_CeC_8	MD7d_CeC_6	0.091552883	D07
MD7d_CeC_1	MD7d_CeC_7	0.311095377	D07	MD7d_CeC_1	MD7d_CeC_7	0.117641302	D07	MD7d_CeC_1	MD7d_CeC_7	0.09440168	D07
MD7d_CeC_2	MD7d_CeC_7	0.074985048	D07	MD7d_CeC_2	MD7d_CeC_7	0.006025829	D07	MD7d_CeC_2	MD7d_CeC_7	0.024918745	D07
MD7d_CeC_3	MD7d_CeC_7	0.346492141	D07	MD7d_CeC_3	MD7d_CeC_7	0.218192267	D07	MD7d_CeC_3	MD7d_CeC_7	0.137015275	D07
MD7d_CeC_4	MD7d_CeC_7	0.366945766	D07	MD7d_CeC_4	MD7d_CeC_7	0.255274281	D07	MD7d_CeC_4	MD7d_CeC_7	0.151153659	D07
MD7d_CeC_5	MD7d_CeC_7	0.412033145	D07	MD7d_CeC_5	MD7d_CeC_7	0.303249851	D07	MD7d_CeC_5	MD7d_CeC_7	0.162195334	D07
MD7d_CeC_6	MD7d_CeC_7	0.360323642	D07	MD7d_CeC_6	MD7d_CeC_7	0.219573767	D07	MD7d_CeC_6	MD7d_CeC_7	0.135809717	D07
MD7d_CeC_8	MD7d_CeC_7	0.314586252	D07	MD7d_CeC_8	MD7d_CeC_7	0.126422506	D07	MD7d_CeC_8	MD7d_CeC_7	0.09692745	D07
MD7d_CeC_1	MD7d_CeC_8	0.069911125	D07	MD7d_CeC_1	MD7d_CeC_8	0.012099519	D07	MD7d_CeC_1	MD7d_CeC_8	0.026301165	D07
MD7d_CeC_2	MD7d_CeC_8	0.318898715	D07	MD7d_CeC_2	MD7d_CeC_8	0.130709424	D07	MD7d_CeC_2	MD7d_CeC_8	0.099383127	D07
MD7d_CeC_3	MD7d_CeC_8	0.286967839	D07	MD7d_CeC_3	MD7d_CeC_8	0.162167045	D07	MD7d_CeC_3	MD7d_CeC_8	0.089929019	D07
MD7d_CeC_4	MD7d_CeC_8	0.307322052	D07	MD7d_CeC_4	MD7d_CeC_8	0.20859541	D07	MD7d_CeC_4	MD7d_CeC_8	0.103492499	D07
